ab	4.0,0.0,0.0003450953325856268,0.0
above	2.0,5.0,0.0001725476662928134,0.00037102997922232116
absolutely	0.0,1.0,0.0,7.420599584446424e-05
absorb	0.0,1.0,0.0,7.420599584446424e-05
abuse	0.0,1.0,0.0,7.420599584446424e-05
acce	0.0,1.0,0.0,7.420599584446424e-05
accept	0.0,3.0,0.0,0.0002226179875333927
accepted	0.0,1.0,0.0,7.420599584446424e-05
accepting	0.0,2.0,0.0,0.00014841199168892847
accomodates	1.0,0.0,8.62738331464067e-05,0.0
accompanied	1.0,0.0,8.62738331464067e-05,0.0
accounts	0.0,1.0,0.0,7.420599584446424e-05
accurate	1.0,0.0,8.62738331464067e-05,0.0
aches	0.0,1.0,0.0,7.420599584446424e-05
achieved	1.0,0.0,8.62738331464067e-05,0.0
acrobat	0.0,1.0,0.0,7.420599584446424e-05
across	5.0,4.0,0.0004313691657320335,0.00029682398337785694
act	0.0,3.0,0.0,0.0002226179875333927
activate	0.0,4.0,0.0,0.00029682398337785694
active	1.0,0.0,8.62738331464067e-05,0.0
activities	7.0,0.0,0.0006039168320248468,0.0
actor	0.0,1.0,0.0,7.420599584446424e-05
adage	0.0,1.0,0.0,7.420599584446424e-05
adapted	0.0,1.0,0.0,7.420599584446424e-05
add	2.0,6.0,0.0001725476662928134,0.0004452359750667854
added	0.0,2.0,0.0,0.00014841199168892847
adding	0.0,2.0,0.0,0.00014841199168892847
additionally	1.0,1.0,8.62738331464067e-05,7.420599584446424e-05
adhesion	0.0,1.0,0.0,7.420599584446424e-05
adm	1.0,0.0,8.62738331464067e-05,0.0
adobe	0.0,12.0,0.0,0.0008904719501335708
ads	0.0,5.0,0.0,0.00037102997922232116
adv	0.0,1.0,0.0,7.420599584446424e-05
advanced	0.0,1.0,0.0,7.420599584446424e-05
advantage	1.0,0.0,8.62738331464067e-05,0.0
advertisements	0.0,1.0,0.0,7.420599584446424e-05
advise	2.0,0.0,0.0001725476662928134,0.0
advocates	1.0,0.0,8.62738331464067e-05,0.0
aec	2.0,0.0,0.0001725476662928134,0.0
aeopublishing	0.0,19.0,0.0,0.0014099139210448203
affairs	1.0,0.0,8.62738331464067e-05,0.0
affiliate	0.0,1.0,0.0,7.420599584446424e-05
afraid	1.0,3.0,8.62738331464067e-05,0.0002226179875333927
afternoon	3.0,1.0,0.0002588214994392201,7.420599584446424e-05
agendas	1.0,0.0,8.62738331464067e-05,0.0
agonizing	0.0,1.0,0.0,7.420599584446424e-05
agree	1.0,1.0,8.62738331464067e-05,7.420599584446424e-05
aids	1.0,0.0,8.62738331464067e-05,0.0
alex	4.0,0.0,0.0003450953325856268,0.0
allay	0.0,1.0,0.0,7.420599584446424e-05
allocate	1.0,0.0,8.62738331464067e-05,0.0
allocation	5.0,0.0,0.0004313691657320335,0.0
allow	4.0,5.0,0.0003450953325856268,0.00037102997922232116
alpra	0.0,1.0,0.0,7.420599584446424e-05
already	8.0,3.0,0.0006901906651712536,0.0002226179875333927
always	0.0,6.0,0.0,0.0004452359750667854
amigo	0.0,1.0,0.0,7.420599584446424e-05
amount	1.0,1.0,8.62738331464067e-05,7.420599584446424e-05
amy	0.0,2.0,0.0,0.00014841199168892847
an	20.0,41.0,0.001725476662928134,0.0030424458296230334
analyses	1.0,0.0,8.62738331464067e-05,0.0
analyze	0.0,1.0,0.0,7.420599584446424e-05
anita	2.0,0.0,0.0001725476662928134,0.0
annoy	0.0,1.0,0.0,7.420599584446424e-05
annoying	1.0,0.0,8.62738331464067e-05,0.0
anonymously	0.0,1.0,0.0,7.420599584446424e-05
another	6.0,7.0,0.0005176429988784402,0.0005194419709112497
answers	0.0,5.0,0.0,0.00037102997922232116
antoine	1.0,0.0,8.62738331464067e-05,0.0
anywhere	0.0,3.0,0.0,0.0002226179875333927
apologies	1.0,1.0,8.62738331464067e-05,7.420599584446424e-05
appear	4.0,1.0,0.0003450953325856268,7.420599584446424e-05
applied	5.0,0.0,0.0004313691657320335,0.0
approach	1.0,1.0,8.62738331464067e-05,7.420599584446424e-05
appropriate	3.0,0.0,0.0002588214994392201,0.0
arbitrage	4.0,0.0,0.0003450953325856268,0.0
architect	0.0,1.0,0.0,7.420599584446424e-05
archive	0.0,1.0,0.0,7.420599584446424e-05
are	55.0,84.0,0.004745060823052368,0.006233303650934996
argentine	4.0,0.0,0.0003450953325856268,0.0
arizona	1.0,0.0,8.62738331464067e-05,0.0
ark	0.0,1.0,0.0,7.420599584446424e-05
arrangements	0.0,2.0,0.0,0.00014841199168892847
arrest	0.0,2.0,0.0,0.00014841199168892847
arrival	1.0,0.0,8.62738331464067e-05,0.0
art	0.0,2.0,0.0,0.00014841199168892847
articles	0.0,1.0,0.0,7.420599584446424e-05
asia	0.0,1.0,0.0,7.420599584446424e-05
assault	0.0,1.0,0.0,7.420599584446424e-05
assays	0.0,1.0,0.0,7.420599584446424e-05
assembly	1.0,0.0,8.62738331464067e-05,0.0
assist	0.0,3.0,0.0,0.0002226179875333927
assortment	0.0,1.0,0.0,7.420599584446424e-05
assume	1.0,0.0,8.62738331464067e-05,0.0
assumption	1.0,0.0,8.62738331464067e-05,0.0
at	57.0,66.0,0.004917608489345182,0.004897595725734639
atreus	0.0,1.0,0.0,7.420599584446424e-05
attendance	2.0,0.0,0.0001725476662928134,0.0
australia	2.0,7.0,0.0001725476662928134,0.0005194419709112497
australiasds	0.0,1.0,0.0,7.420599584446424e-05
automatically	1.0,3.0,8.62738331464067e-05,0.0002226179875333927
availability	0.0,2.0,0.0,0.00014841199168892847
avoid	3.0,5.0,0.0002588214994392201,0.00037102997922232116
avoided	1.0,0.0,8.62738331464067e-05,0.0
await	0.0,2.0,0.0,0.00014841199168892847
awaking	0.0,1.0,0.0,7.420599584446424e-05
aware	1.0,0.0,8.62738331464067e-05,0.0
awesome	1.0,0.0,8.62738331464067e-05,0.0
axel	2.0,0.0,0.0001725476662928134,0.0
azurix	10.0,0.0,0.000862738331464067,0.0
baby	0.0,2.0,0.0,0.00014841199168892847
background	2.0,7.0,0.0001725476662928134,0.0005194419709112497
backup	2.0,0.0,0.0001725476662928134,0.0
bade	0.0,1.0,0.0,7.420599584446424e-05
baggage	0.0,1.0,0.0,7.420599584446424e-05
bail	2.0,0.0,0.0001725476662928134,0.0
banging	0.0,1.0,0.0,7.420599584446424e-05
banker	2.0,0.0,0.0001725476662928134,0.0
bannerco	0.0,3.0,0.0,0.0002226179875333927
bar	0.0,1.0,0.0,7.420599584446424e-05
barely	0.0,1.0,0.0,7.420599584446424e-05
base	0.0,1.0,0.0,7.420599584446424e-05
basically	0.0,1.0,0.0,7.420599584446424e-05
bd	0.0,5.0,0.0,0.00037102997922232116
bdf	0.0,1.0,0.0,7.420599584446424e-05
beard	0.0,1.0,0.0,7.420599584446424e-05
beck	3.0,0.0,0.0002588214994392201,0.0
bedfellow	0.0,1.0,0.0,7.420599584446424e-05
beds	0.0,3.0,0.0,0.0002226179875333927
before	7.0,11.0,0.0006039168320248468,0.0008162659542891065
beginning	1.0,3.0,8.62738331464067e-05,0.0002226179875333927
believable	0.0,2.0,0.0,0.00014841199168892847
believe	5.0,6.0,0.0004313691657320335,0.0004452359750667854
below	6.0,7.0,0.0005176429988784402,0.0005194419709112497
bendickson	0.0,2.0,0.0,0.00014841199168892847
benedicta	0.0,2.0,0.0,0.00014841199168892847
benson	0.0,1.0,0.0,7.420599584446424e-05
beware	0.0,1.0,0.0,7.420599584446424e-05
bid	1.0,0.0,8.62738331464067e-05,0.0
big	3.0,6.0,0.0002588214994392201,0.0004452359750667854
biggest	0.0,1.0,0.0,7.420599584446424e-05
bills	2.0,0.0,0.0001725476662928134,0.0
biwven	0.0,1.0,0.0,7.420599584446424e-05
bless	0.0,2.0,0.0,0.00014841199168892847
blessed	0.0,2.0,0.0,0.00014841199168892847
blood	0.0,1.0,0.0,7.420599584446424e-05
bmf	0.0,1.0,0.0,7.420599584446424e-05
bodies	0.0,1.0,0.0,7.420599584446424e-05
bold	0.0,2.0,0.0,0.00014841199168892847
bombs	0.0,1.0,0.0,7.420599584446424e-05
bonds	2.0,0.0,0.0001725476662928134,0.0
bone	0.0,1.0,0.0,7.420599584446424e-05
boosts	0.0,1.0,0.0,7.420599584446424e-05
booth	1.0,0.0,8.62738331464067e-05,0.0
booze	0.0,1.0,0.0,7.420599584446424e-05
borland	0.0,1.0,0.0,7.420599584446424e-05
both	5.0,7.0,0.0004313691657320335,0.0005194419709112497
boy	0.0,2.0,0.0,0.00014841199168892847
bp	3.0,0.0,0.0002588214994392201,0.0
brainstorm	1.0,0.0,8.62738331464067e-05,0.0
brand	0.0,1.0,0.0,7.420599584446424e-05
branded	0.0,1.0,0.0,7.420599584446424e-05
branding	0.0,1.0,0.0,7.420599584446424e-05
breath	0.0,4.0,0.0,0.00029682398337785694
bredd	1.0,0.0,8.62738331464067e-05,0.0
brings	2.0,2.0,0.0001725476662928134,0.00014841199168892847
broker	0.0,1.0,0.0,7.420599584446424e-05
brown	1.0,2.0,8.62738331464067e-05,0.00014841199168892847
bryan	1.0,0.0,8.62738331464067e-05,0.0
buchsbaum	1.0,0.0,8.62738331464067e-05,0.0
build	0.0,5.0,0.0,0.00037102997922232116
building	3.0,2.0,0.0002588214994392201,0.00014841199168892847
bullet	0.0,5.0,0.0,0.00037102997922232116
bulleted	0.0,2.0,0.0,0.00014841199168892847
burton	6.0,0.0,0.0005176429988784402,0.0
bus	2.0,1.0,0.0001725476662928134,7.420599584446424e-05
business	20.0,20.0,0.001725476662928134,0.0014841199168892847
businesses	0.0,4.0,0.0,0.00029682398337785694
businessopps	0.0,1.0,0.0,7.420599584446424e-05
bussell	1.0,0.0,8.62738331464067e-05,0.0
butler	1.0,0.0,8.62738331464067e-05,0.0
buy	1.0,3.0,8.62738331464067e-05,0.0002226179875333927
buybacks	1.0,0.0,8.62738331464067e-05,0.0
buying	1.0,0.0,8.62738331464067e-05,0.0
by	52.0,57.0,0.004486239323613148,0.004229741763134461
c	5.0,10.0,0.0004313691657320335,0.0007420599584446423
caboose	0.0,1.0,0.0,7.420599584446424e-05
calamity	0.0,2.0,0.0,0.00014841199168892847
calpine	3.0,0.0,0.0002588214994392201,0.0
camp	7.0,0.0,0.0006039168320248468,0.0
can	30.0,49.0,0.0025882149943922007,0.003636093796378747
canada	4.0,0.0,0.0003450953325856268,0.0
cano	0.0,1.0,0.0,7.420599584446424e-05
capacity	2.0,0.0,0.0001725476662928134,0.0
capitalize	0.0,1.0,0.0,7.420599584446424e-05
cards	1.0,4.0,8.62738331464067e-05,0.00029682398337785694
care	2.0,5.0,0.0001725476662928134,0.00037102997922232116
careful	0.0,1.0,0.0,7.420599584446424e-05
cat	0.0,2.0,0.0,0.00014841199168892847
catalyze	2.0,0.0,0.0001725476662928134,0.0
catchy	0.0,1.0,0.0,7.420599584446424e-05
caught	0.0,1.0,0.0,7.420599584446424e-05
cc	37.0,0.0,0.0031921318264170476,0.0
cellulite	0.0,1.0,0.0,7.420599584446424e-05
cemented	0.0,1.0,0.0,7.420599584446424e-05
cent	1.0,0.0,8.62738331464067e-05,0.0
ceos	0.0,1.0,0.0,7.420599584446424e-05
cernosek	1.0,0.0,8.62738331464067e-05,0.0
cha	0.0,1.0,0.0,7.420599584446424e-05
chambers	1.0,0.0,8.62738331464067e-05,0.0
changed	0.0,1.0,0.0,7.420599584446424e-05
changes	4.0,0.0,0.0003450953325856268,0.0
changing	0.0,1.0,0.0,7.420599584446424e-05
channel	0.0,1.0,0.0,7.420599584446424e-05
char	0.0,1.0,0.0,7.420599584446424e-05
charge	3.0,5.0,0.0002588214994392201,0.00037102997922232116
chartroom	0.0,1.0,0.0,7.420599584446424e-05
charts	2.0,0.0,0.0001725476662928134,0.0
chatham	1.0,0.0,8.62738331464067e-05,0.0
cheap	0.0,1.0,0.0,7.420599584446424e-05
check	1.0,1.0,8.62738331464067e-05,7.420599584446424e-05
checking	1.0,3.0,8.62738331464067e-05,0.0002226179875333927
chewing	0.0,2.0,0.0,0.00014841199168892847
child	0.0,3.0,0.0,0.0002226179875333927
chinese	0.0,1.0,0.0,7.420599584446424e-05
chip	0.0,1.0,0.0,7.420599584446424e-05
chisholm	0.0,1.0,0.0,7.420599584446424e-05
cholesterol	0.0,1.0,0.0,7.420599584446424e-05
chris	1.0,0.0,8.62738331464067e-05,0.0
christine	1.0,0.0,8.62738331464067e-05,0.0
chunk	1.0,0.0,8.62738331464067e-05,0.0
cigars	0.0,1.0,0.0,7.420599584446424e-05
cinergy	1.0,0.0,8.62738331464067e-05,0.0
citizens	0.0,2.0,0.0,0.00014841199168892847
city	0.0,5.0,0.0,0.00037102997922232116
civilizirano	0.0,1.0,0.0,7.420599584446424e-05
ckgby	0.0,1.0,0.0,7.420599584446424e-05
ckily	0.0,1.0,0.0,7.420599584446424e-05
claims	0.0,2.0,0.0,0.00014841199168892847
clare	1.0,0.0,8.62738331464067e-05,0.0
clarification	1.0,0.0,8.62738331464067e-05,0.0
clark	1.0,0.0,8.62738331464067e-05,0.0
class	0.0,2.0,0.0,0.00014841199168892847
classes	1.0,0.0,8.62738331464067e-05,0.0
classic	0.0,1.0,0.0,7.420599584446424e-05
clear	2.0,7.0,0.0001725476662928134,0.0005194419709112497
clearing	0.0,1.0,0.0,7.420599584446424e-05
clem	1.0,0.0,8.62738331464067e-05,0.0
clemons	0.0,1.0,0.0,7.420599584446424e-05
client	1.0,0.0,8.62738331464067e-05,0.0
clinging	0.0,1.0,0.0,7.420599584446424e-05
close	3.0,1.0,0.0002588214994392201,7.420599584446424e-05
closure	0.0,1.0,0.0,7.420599584446424e-05
clu	0.0,1.0,0.0,7.420599584446424e-05
cmenergy	1.0,0.0,8.62738331464067e-05,0.0
co	3.0,2.0,0.0002588214994392201,0.00014841199168892847
coaching	1.0,0.0,8.62738331464067e-05,0.0
coastenergy	1.0,0.0,8.62738331464067e-05,0.0
cohen	0.0,1.0,0.0,7.420599584446424e-05
coleman	1.0,0.0,8.62738331464067e-05,0.0
colloquy	0.0,1.0,0.0,7.420599584446424e-05
color	18.0,1.0,0.0015529289966353206,7.420599584446424e-05
